date,region,category,customer_segment,units,revenue
2025-06-03,West,Outdoor,Loyalty,6,484.26
2025-06-03,West,Beauty,Loyalty,23,1845.85
2025-06-04,Northeast,Apparel,Loyalty,6,250.35
2025-06-04,Northeast,Electronics,Loyalty,21,1292.39
2025-06-04,Northeast,Home,New,13,879.92
2025-06-04,Northeast,Outdoor,New,22,2107.1
2025-06-04,Northeast,Beauty,Returning,6,213.54
2025-06-04,Southeast,Apparel,Returning,8,701.78
2025-06-04,Southeast,Electronics,Loyalty,11,933.67
2025-06-04,Southeast,Home,Returning,20,2039.8
2025-06-04,Southeast,Outdoor,Returning,23,2350.58
2025-06-04,Southeast,Beauty,Returning,6,131.63
2025-06-04,Midwest,Apparel,Loyalty,5,423.61
2025-06-04,Midwest,Electronics,Loyalty,12,377.27
2025-06-04,Midwest,Home,Returning,12,956.01
2025-06-04,Midwest,Outdoor,Returning,23,1716.37
2025-06-04,Midwest,Beauty,Returning,5,148.56
2025-06-04,West,Apparel,New,17,323.67
2025-06-04,West,Electronics,Returning,16,552.3
2025-06-04,West,Home,New,12,661.22
2025-06-04,West,Outdoor,Loyalty,13,1209.04
2025-06-04,West,Beauty,Loyalty,22,2331.07
2025-06-05,Northeast,Apparel,Returning,10,411.11
2025-06-05,Northeast,Electronics,New,20,2031.21
2025-06-05,Northeast,Home,Returning,18,774.48
2025-06-05,Northeast,Outdoor,New,10,713.59
2025-06-05,Northeast,Beauty,New,18,1087.47
2025-06-05,Southeast,Apparel,Loyalty,18,971.07
2025-06-05,Southeast,Electronics,Returning,10,886.18
2025-06-05,Southeast,Home,New,8,476.9
2025-06-05,Southeast,Outdoor,New,21,544.03
2025-06-05,Southeast,Beauty,New,17,297.95
2025-06-05,Midwest,Apparel,Loyalty,23,1339.6
2025-06-05,Midwest,Electronics,Returning,15,1656.91
2025-06-05,Midwest,Home,Loyalty,10,802.53
2025-06-05,Midwest,Outdoor,New,10,404.67
2025-06-05,Midwest,Beauty,Loyalty,13,781.17
2025-06-05,West,Apparel,Returning,12,272.4
2025-06-05,West,Electronics,Loyalty,12,1059.79
2025-06-05,West,Home,Loyalty,18,2029.07
2025-06-05,West,Outdoor,Loyalty,10,909.44
2025-06-05,West,Beauty,Returning,12,529.62
2025-06-06,Northeast,Apparel,Loyalty,19,1844.35
2025-06-06,Northeast,Electronics,Returning,7,124
2025-06-06,Northeast,Home,New,21,1952.76
2025-06-06,Northeast,Outdoor,Loyalty,16,1259.93
2025-06-06,Northeast,Beauty,New,17,1867.1
2025-06-06,Southeast,Apparel,Returning,11,168.47
2025-06-06,Southeast,Electronics,Loyalty,11,950.59
2025-06-06,Southeast,Home,New,21,1432.64
2025-06-06,Southeast,Outdoor,New,11,264.75
2025-06-06,Southeast,Beauty,Returning,15,1561.33
2025-06-06,Midwest,Apparel,Loyalty,14,401.88
2025-06-06,Midwest,Electronics,New,19,2100.8
2025-06-06,Midwest,Home,New,21,1810.23
2025-06-06,Midwest,Outdoor,Loyalty,14,769.63
2025-06-06,Midwest,Beauty,New,10,411.26
2025-06-06,West,Apparel,New,4,116.96
2025-06-06,West,Electronics,New,13,1415.85
2025-06-06,West,Home,New,17,1478.78
2025-06-06,West,Outdoor,Returning,6,192
2025-06-06,West,Beauty,Loyalty,3,343.32
2025-06-07,Northeast,Apparel,Loyalty,6,133.4
2025-06-07,Northeast,Electronics,Returning,4,305.44
2025-06-07,Northeast,Home,Loyalty,19,822.42
2025-06-07,Northeast,Outdoor,Returning,21,1718.81
2025-06-07,Northeast,Beauty,Loyalty,5,264.35
2025-06-07,Southeast,Apparel,Loyalty,15,1662.59
2025-06-07,Southeast,Electronics,Returning,7,551.52
2025-06-07,Southeast,Home,Returning,17,1078.7
2025-06-07,Southeast,Outdoor,Returning,24,2815.66
2025-06-07,Southeast,Beauty,Returning,6,253.05
2025-06-07,Midwest,Apparel,Returning,10,222.16
2025-06-07,Midwest,Electronics,Loyalty,20,1067.4
2025-06-07,Midwest,Home,New,19,1041.21
2025-06-07,Midwest,Outdoor,Loyalty,11,286.87
2025-06-07,Midwest,Beauty,Loyalty,4,341.81
2025-06-07,West,Apparel,Returning,4,468.32
2025-06-07,West,Electronics,Returning,9,299.21
2025-06-07,West,Home,Loyalty,18,1007.86
2025-06-07,West,Outdoor,Returning,13,1300.71
2025-06-07,West,Beauty,New,23,1442.26
2025-06-08,Northeast,Apparel,New,7,313.06
2025-06-08,Northeast,Electronics,Returning,17,1403.55
2025-06-08,Northeast,Home,Loyalty,13,1475.52
2025-06-08,Northeast,Outdoor,New,20,1683.07
2025-06-08,Northeast,Beauty,Returning,8,187.75
2025-06-08,Southeast,Apparel,Returning,24,2771.82
2025-06-08,Southeast,Electronics,Loyalty,20,1987.42
2025-06-08,Southeast,Home,New,16,1242.54
2025-06-08,Southeast,Outdoor,Loyalty,22,1756.62
2025-06-08,Southeast,Beauty,New,16,1317.72
2025-06-08,Midwest,Apparel,Loyalty,19,858.71
2025-06-08,Midwest,Electronics,Loyalty,11,1127.16
2025-06-08,Midwest,Home,Loyalty,18,2145.73
2025-06-08,Midwest,Outdoor,New,9,280.16
2025-06-08,Midwest,Beauty,New,17,1207.5
2025-06-08,West,Apparel,New,21,2308.16
2025-06-08,West,Electronics,Returning,13,1478.32
2025-06-08,West,Home,Loyalty,10,474.9
2025-06-08,West,Outdoor,Loyalty,19,1219.21
2025-06-08,West,Beauty,Loyalty,21,2383.24
2025-06-09,Northeast,Apparel,New,18,1798.53
2025-06-09,Northeast,Electronics,Returning,17,1616.97
2025-06-09,Northeast,Home,New,6,671.58
2025-06-09,Northeast,Outdoor,Loyalty,5,173.94
2025-06-09,Northeast,Beauty,Loyalty,9,890.2
2025-06-09,Southeast,Apparel,New,13,1183.3
2025-06-09,Southeast,Electronics,Returning,24,2473.79
2025-06-09,Southeast,Home,New,7,381.34
2025-06-09,Southeast,Outdoor,New,9,479.17
2025-06-09,Southeast,Beauty,Loyalty,21,1245.14
2025-06-09,Midwest,Apparel,Returning,17,1634.09
2025-06-09,Midwest,Electronics,Loyalty,8,173.04
2025-06-09,Midwest,Home,Loyalty,5,427.77
2025-06-09,Midwest,Outdoor,Returning,9,859.75
2025-06-09,Midwest,Beauty,Returning,5,236.08
2025-06-09,West,Apparel,Returning,8,511.18
2025-06-09,West,Electronics,New,5,316.18
2025-06-09,West,Home,New,15,1021.77
2025-06-09,West,Outdoor,Returning,6,616.51
2025-06-09,West,Beauty,New,21,1699.65
2025-06-10,Northeast,Apparel,Returning,8,946
2025-06-10,Northeast,Electronics,Returning,20,1533.19
2025-06-10,Northeast,Home,Returning,14,284.05
2025-06-10,Northeast,Outdoor,Loyalty,15,332.45
2025-06-10,Northeast,Beauty,Loyalty,15,685.08
2025-06-10,Southeast,Apparel,Loyalty,15,539.92
2025-06-10,Southeast,Electronics,Loyalty,11,221.54
2025-06-10,Southeast,Home,Returning,19,1972.48
2025-06-10,Southeast,Outdoor,New,14,835.31
2025-06-10,Southeast,Beauty,New,23,1191.24
2025-06-10,Midwest,Apparel,Loyalty,4,141.71
2025-06-10,Midwest,Electronics,Returning,20,1586.82
2025-06-10,Midwest,Home,New,4,93.29
2025-06-10,Midwest,Outdoor,New,8,281.29
2025-06-10,Midwest,Beauty,New,15,888.15
2025-06-10,West,Apparel,Returning,13,418
2025-06-10,West,Electronics,Returning,17,423.51
2025-06-10,West,Home,New,12,1166.4
2025-06-10,West,Outdoor,New,14,469.68
2025-06-10,West,Beauty,Loyalty,16,1009.94
2025-06-11,Northeast,Apparel,Returning,15,1336.2
2025-06-11,Northeast,Electronics,Loyalty,11,681.72
2025-06-11,Northeast,Home,Returning,23,720.46
2025-06-11,Northeast,Outdoor,Loyalty,9,470.75
2025-06-11,Northeast,Beauty,Loyalty,9,687.65
2025-06-11,Southeast,Apparel,New,23,1893.46
2025-06-11,Southeast,Electronics,Loyalty,10,528.31
2025-06-11,Southeast,Home,New,23,681.57
2025-06-11,Southeast,Outdoor,Loyalty,8,320.24
2025-06-11,Southeast,Beauty,Returning,23,1663.61
2025-06-11,Midwest,Apparel,Loyalty,13,597.07
2025-06-11,Midwest,Electronics,New,6,450.34
2025-06-11,Midwest,Home,New,6,548.12
2025-06-11,Midwest,Outdoor,New,17,1060.5
2025-06-11,Midwest,Beauty,New,16,963.63
2025-06-11,West,Apparel,Loyalty,14,1085.38
2025-06-11,West,Electronics,Returning,14,406.88
2025-06-11,West,Home,Loyalty,11,952.7
2025-06-11,West,Outdoor,New,14,868.71
2025-06-11,West,Beauty,New,16,1640.31
2025-06-12,Northeast,Apparel,New,3,233.84
2025-06-12,Northeast,Electronics,New,10,595.85
2025-06-12,Northeast,Home,Returning,4,441.73
2025-06-12,Northeast,Outdoor,New,10,604.53
2025-06-12,Northeast,Beauty,Loyalty,4,161.07
2025-06-12,Southeast,Apparel,Returning,21,2169.37
2025-06-12,Southeast,Electronics,Loyalty,12,955.76
2025-06-12,Southeast,Home,Returning,14,1638.39
2025-06-12,Southeast,Outdoor,New,16,1122.27
2025-06-12,Southeast,Beauty,Loyalty,22,1070.83
2025-06-12,Midwest,Apparel,New,21,1123.07
2025-06-12,Midwest,Electronics,Returning,6,359.97
2025-06-12,Midwest,Home,Loyalty,8,213.6
2025-06-12,Midwest,Outdoor,Returning,23,1935.3
2025-06-12,Midwest,Beauty,New,9,470.8
2025-06-12,West,Apparel,Returning,22,1862.31
2025-06-12,West,Electronics,New,10,1017.41
2025-06-12,West,Home,Returning,16,650.01
2025-06-12,West,Outdoor,Loyalty,23,1398.72
2025-06-12,West,Beauty,Loyalty,13,392.03
2025-06-13,Northeast,Apparel,Loyalty,13,539.14
2025-06-13,Northeast,Electronics,Loyalty,11,543.16
2025-06-13,Northeast,Home,New,13,1337.37
2025-06-13,Northeast,Outdoor,New,18,555.11
2025-06-13,Northeast,Beauty,New,13,1401.04
2025-06-13,Southeast,Apparel,Returning,19,567.76
2025-06-13,Southeast,Electronics,New,17,1312.92
2025-06-13,Southeast,Home,New,18,889.88
2025-06-13,Southeast,Outdoor,New,10,524.88
2025-06-13,Southeast,Beauty,Loyalty,5,146.84
2025-06-13,Midwest,Apparel,New,15,704.51
2025-06-13,Midwest,Electronics,Returning,9,826.34
2025-06-13,Midwest,Home,Returning,7,506.64
2025-06-13,Midwest,Outdoor,Loyalty,8,325.74
2025-06-13,Midwest,Beauty,Returning,20,1265.99
2025-06-13,West,Apparel,New,19,354.38
2025-06-13,West,Electronics,Returning,20,1228.07
2025-06-13,West,Home,Returning,15,582.84
2025-06-13,West,Outdoor,Returning,22,2388.18
2025-06-13,West,Beauty,New,17,977.58
2025-06-14,Northeast,Apparel,Loyalty,11,430.88
2025-06-14,Northeast,Electronics,New,20,2273.93
2025-06-14,Northeast,Home,Returning,10,519.26
2025-06-14,Northeast,Outdoor,Returning,22,624.54
2025-06-14,Northeast,Beauty,Returning,21,1517.6
2025-06-14,Southeast,Apparel,New,21,575.51
2025-06-14,Southeast,Electronics,Returning,19,1888.94
2025-06-14,Southeast,Home,Loyalty,12,892.99
2025-06-14,Southeast,Outdoor,Returning,9,627.1
2025-06-14,Southeast,Beauty,Returning,23,1776.42
2025-06-14,Midwest,Apparel,New,9,1002.92
2025-06-14,Midwest,Electronics,New,19,1945.69
2025-06-14,Midwest,Home,New,3,123.67
2025-06-14,Midwest,Outdoor,Loyalty,6,712.61
2025-06-14,Midwest,Beauty,Loyalty,17,650.48
2025-06-14,West,Apparel,New,19,1382.25
2025-06-14,West,Electronics,New,3,353.67
2025-06-14,West,Home,Loyalty,19,793.11
2025-06-14,West,Outdoor,New,13,803.28
2025-06-14,West,Beauty,Returning,6,375.27
2025-06-15,Northeast,Apparel,New,6,298.52
2025-06-15,Northeast,Electronics,New,19,847.83
2025-06-15,Northeast,Home,Loyalty,16,243.7
2025-06-15,Northeast,Outdoor,Loyalty,18,676.6
2025-06-15,Northeast,Beauty,New,18,1211.39
2025-06-15,Southeast,Apparel,Returning,12,663.93
2025-06-15,Southeast,Electronics,Returning,19,532.27
2025-06-15,Southeast,Home,New,20,1202.79
2025-06-15,Southeast,Outdoor,New,17,2000.03
2025-06-15,Southeast,Beauty,Loyalty,24,2052.64
2025-06-15,Midwest,Apparel,Returning,24,1276.99
2025-06-15,Midwest,Electronics,Loyalty,20,1794.51
2025-06-15,Midwest,Home,New,17,984.27
2025-06-15,Midwest,Outdoor,Returning,14,528.9
2025-06-15,Midwest,Beauty,Returning,24,442.2
2025-06-15,West,Apparel,New,11,387.34
2025-06-15,West,Electronics,Loyalty,18,1184
2025-06-15,West,Home,New,17,1849.37
2025-06-15,West,Outdoor,Loyalty,24,519.91
2025-06-15,West,Beauty,Loyalty,18,1657.46
2025-06-16,Northeast,Apparel,Returning,6,268.31
2025-06-16,Northeast,Electronics,Loyalty,19,1440.37
2025-06-16,Northeast,Home,Loyalty,8,823.66
2025-06-16,Northeast,Outdoor,New,22,1283.59
2025-06-16,Northeast,Beauty,Returning,8,631.37
2025-06-16,Southeast,Apparel,Loyalty,23,2634.75
2025-06-16,Southeast,Electronics,Loyalty,11,961.16
2025-06-16,Southeast,Home,Loyalty,7,199.87
2025-06-16,Southeast,Outdoor,New,17,351.89
2025-06-16,Southeast,Beauty,Loyalty,21,1095.28
2025-06-16,Midwest,Apparel,Returning,10,963.91
2025-06-16,Midwest,Electronics,Loyalty,18,1184.5
2025-06-16,Midwest,Home,New,15,695.28
2025-06-16,Midwest,Outdoor,Loyalty,23,1891.08
2025-06-16,Midwest,Beauty,Loyalty,10,585.81
2025-06-16,West,Apparel,Returning,10,1087.45
2025-06-16,West,Electronics,New,5,284.49
2025-06-16,West,Home,Loyalty,21,1615.57
2025-06-16,West,Outdoor,Returning,9,777.2
2025-06-16,West,Beauty,Loyalty,17,1091.81
2025-06-17,Northeast,Apparel,Returning,18,512.92
2025-06-17,Northeast,Electronics,Loyalty,6,538.05
2025-06-17,Northeast,Home,Returning,20,894.28
2025-06-17,Northeast,Outdoor,Returning,16,1875.11
2025-06-17,Northeast,Beauty,New,16,507.72
2025-06-17,Southeast,Apparel,Returning,5,296.38
2025-06-17,Southeast,Electronics,Returning,6,579.2
2025-06-17,Southeast,Home,New,7,151.71
2025-06-17,Southeast,Outdoor,New,4,394.73
2025-06-17,Southeast,Beauty,Loyalty,5,210.96
2025-06-17,Midwest,Apparel,New,21,599.87
2025-06-17,Midwest,Electronics,New,4,63.39
2025-06-17,Midwest,Home,Loyalty,21,1655.02
2025-06-17,Midwest,Outdoor,Returning,22,1914.38
2025-06-17,Midwest,Beauty,Returning,11,355.06
2025-06-17,West,Apparel,New,19,1124.77
2025-06-17,West,Electronics,New,14,941.91
2025-06-17,West,Home,Loyalty,23,1996.12
2025-06-17,West,Outdoor,New,11,587.79
2025-06-17,West,Beauty,New,20,1551.71
2025-06-18,Northeast,Apparel,Loyalty,13,1108.63
2025-06-18,Northeast,Electronics,Returning,7,284.39
2025-06-18,Northeast,Home,Returning,20,871.23
2025-06-18,Northeast,Outdoor,Loyalty,19,1134.14
2025-06-18,Northeast,Beauty,New,5,385.53
2025-06-18,Southeast,Apparel,Loyalty,18,1373.86
2025-06-18,Southeast,Electronics,Returning,20,1844.85
2025-06-18,Southeast,Home,Loyalty,10,179.44
2025-06-18,Southeast,Outdoor,Loyalty,9,961.58
2025-06-18,Southeast,Beauty,Loyalty,15,360.33
2025-06-18,Midwest,Apparel,Returning,11,985.71
2025-06-18,Midwest,Electronics,Returning,3,217.38
2025-06-18,Midwest,Home,New,14,1016.19
2025-06-18,Midwest,Outdoor,Returning,24,535.1
2025-06-18,Midwest,Beauty,New,8,797.05
2025-06-18,West,Apparel,Loyalty,13,1436.8
2025-06-18,West,Electronics,New,12,505.19
2025-06-18,West,Home,New,8,558.85
2025-06-18,West,Outdoor,Loyalty,4,111.56
2025-06-18,West,Beauty,Returning,9,984.87
2025-06-19,Northeast,Apparel,Returning,8,647.15
2025-06-19,Northeast,Electronics,Loyalty,19,1626.71
2025-06-19,Northeast,Home,Loyalty,23,2137.99
2025-06-19,Northeast,Outdoor,Returning,12,1356.21
2025-06-19,Northeast,Beauty,Loyalty,24,545.65
2025-06-19,Southeast,Apparel,New,8,519.81
2025-06-19,Southeast,Electronics,Returning,10,945.17
2025-06-19,Southeast,Home,Loyalty,13,1149.35
2025-06-19,Southeast,Outdoor,New,11,441.08
2025-06-19,Southeast,Beauty,New,8,355.12
2025-06-19,Midwest,Apparel,Returning,16,1894.85
2025-06-19,Midwest,Electronics,Loyalty,21,957.84
2025-06-19,Midwest,Home,Loyalty,5,253.12
2025-06-19,Midwest,Outdoor,New,7,663.09
2025-06-19,Midwest,Beauty,Loyalty,18,1227.49
2025-06-19,West,Apparel,New,23,2686.02
2025-06-19,West,Electronics,Returning,11,188.87
2025-06-19,West,Home,New,23,1869.25
2025-06-19,West,Outdoor,Loyalty,10,598.14
2025-06-19,West,Beauty,Loyalty,21,1876.31
2025-06-20,Northeast,Apparel,Returning,10,713.88
2025-06-20,Northeast,Electronics,Loyalty,21,2177.46
2025-06-20,Northeast,Home,Loyalty,10,578.03
2025-06-20,Northeast,Outdoor,Returning,5,595.28
2025-06-20,Northeast,Beauty,Loyalty,23,1515.21
2025-06-20,Southeast,Apparel,New,20,812.47
2025-06-20,Southeast,Electronics,Loyalty,14,830.49
2025-06-20,Southeast,Home,Loyalty,13,1538.88
2025-06-20,Southeast,Outdoor,New,18,1885.04
2025-06-20,Southeast,Beauty,New,21,1657
2025-06-20,Midwest,Apparel,New,7,283.59
2025-06-20,Midwest,Electronics,New,4,473.78
2025-06-20,Midwest,Home,New,11,598.76
2025-06-20,Midwest,Outdoor,Loyalty,18,1949.31
2025-06-20,Midwest,Beauty,Returning,22,2432.48
2025-06-20,West,Apparel,Returning,24,2025.7
2025-06-20,West,Electronics,Returning,16,1633.62
2025-06-20,West,Home,Loyalty,15,1207.89
2025-06-20,West,Outdoor,Returning,5,383.4
2025-06-20,West,Beauty,Loyalty,23,1971.99
2025-06-21,Northeast,Apparel,Returning,18,1765.67
2025-06-21,Northeast,Electronics,Loyalty,4,146.26
2025-06-21,Northeast,Home,Returning,15,924.71
2025-06-21,Northeast,Outdoor,New,13,749.63
2025-06-21,Northeast,Beauty,Loyalty,11,625.3
2025-06-21,Southeast,Apparel,New,7,238.71
2025-06-21,Southeast,Electronics,Returning,18,1229.36
2025-06-21,Southeast,Home,Loyalty,22,779.89
2025-06-21,Southeast,Outdoor,Loyalty,9,594.04
2025-06-21,Southeast,Beauty,New,19,2224.3
2025-06-21,Midwest,Apparel,Loyalty,9,598.76
2025-06-21,Midwest,Electronics,Loyalty,10,878.13
2025-06-21,Midwest,Home,Loyalty,6,576.41
2025-06-21,Midwest,Outdoor,New,6,396.92
2025-06-21,Midwest,Beauty,Returning,10,212.61
2025-06-21,West,Apparel,Loyalty,7,150.22
2025-06-21,West,Electronics,Returning,16,900.92
2025-06-21,West,Home,New,20,2071.17
2025-06-21,West,Outdoor,Loyalty,6,498.78
2025-06-21,West,Beauty,New,13,344.13
2025-06-22,Northeast,Apparel,New,4,291.67
2025-06-22,Northeast,Electronics,Returning,9,628.84
2025-06-22,Northeast,Home,New,14,986.38
2025-06-22,Northeast,Outdoor,Returning,22,811.33
2025-06-22,Northeast,Beauty,New,9,231.58
2025-06-22,Southeast,Apparel,Loyalty,23,2293.14
2025-06-22,Southeast,Electronics,Returning,16,671.37
2025-06-22,Southeast,Home,New,5,280.33
2025-06-22,Southeast,Outdoor,Returning,6,645.92
2025-06-22,Southeast,Beauty,Returning,5,120.96
2025-06-22,Midwest,Apparel,New,23,391.4
2025-06-22,Midwest,Electronics,New,20,838.21
2025-06-22,Midwest,Home,Returning,16,368.97
2025-06-22,Midwest,Outdoor,New,22,2167.02
2025-06-22,Midwest,Beauty,New,16,1814.29
2025-06-22,West,Apparel,Returning,12,704.02
2025-06-22,West,Electronics,New,15,404.2
2025-06-22,West,Home,Loyalty,15,823.64
2025-06-22,West,Outdoor,Returning,5,296.82
2025-06-22,West,Beauty,New,6,113.75
2025-06-23,Northeast,Apparel,Loyalty,4,187.84
2025-06-23,Northeast,Electronics,New,12,837.52
2025-06-23,Northeast,Home,New,18,1773.75
2025-06-23,Northeast,Outdoor,New,14,1589.72
2025-06-23,Northeast,Beauty,New,13,1460.52
2025-06-23,Southeast,Apparel,New,13,813.67
2025-06-23,Southeast,Electronics,Loyalty,5,99.22
2025-06-23,Southeast,Home,New,20,1022.29
2025-06-23,Southeast,Outdoor,Returning,12,1409.25
2025-06-23,Southeast,Beauty,Returning,22,1789.43
2025-06-23,Midwest,Apparel,Returning,22,2387.93
2025-06-23,Midwest,Electronics,Loyalty,19,1966.95
2025-06-23,Midwest,Home,Returning,23,472.99
2025-06-23,Midwest,Outdoor,New,7,786.45
2025-06-23,Midwest,Beauty,Loyalty,14,1314.36
2025-06-23,West,Apparel,Loyalty,21,912.78
2025-06-23,West,Electronics,Loyalty,16,826.65
2025-06-23,West,Home,New,8,829.68
2025-06-23,West,Outdoor,Returning,4,145.19
2025-06-23,West,Beauty,Returning,5,454
2025-06-24,Northeast,Apparel,New,6,185.65
2025-06-24,Northeast,Electronics,Returning,12,815.5
2025-06-24,Northeast,Home,New,21,2113.16
2025-06-24,Northeast,Outdoor,Loyalty,13,929.78
2025-06-24,Northeast,Beauty,New,8,531.16
2025-06-24,Southeast,Apparel,Returning,10,822.26
2025-06-24,Southeast,Electronics,New,8,324.23
2025-06-24,Southeast,Home,Loyalty,3,336.34
2025-06-24,Southeast,Outdoor,New,24,1592.99
2025-06-24,Southeast,Beauty,New,4,215.96
2025-06-24,Midwest,Apparel,Returning,4,366.87
2025-06-24,Midwest,Electronics,Loyalty,8,562.72
2025-06-24,Midwest,Home,Loyalty,21,1789.47
2025-06-24,Midwest,Outdoor,New,12,1360.2
2025-06-24,Midwest,Beauty,New,10,807.84
2025-06-24,West,Apparel,Returning,14,746.12
2025-06-24,West,Electronics,Returning,24,1871.54
2025-06-24,West,Home,Loyalty,24,2590.37
2025-06-24,West,Outdoor,Loyalty,22,2359.16
2025-06-24,West,Beauty,Loyalty,15,435.78
2025-06-25,Northeast,Apparel,Returning,13,198.74
2025-06-25,Northeast,Electronics,Returning,10,658.31
2025-06-25,Northeast,Home,Returning,6,478.93
2025-06-25,Northeast,Outdoor,Loyalty,21,1767.66
2025-06-25,Northeast,Beauty,Loyalty,11,727.37
2025-06-25,Southeast,Apparel,Returning,7,599.27
2025-06-25,Southeast,Electronics,New,8,355.87
2025-06-25,Southeast,Home,New,19,754.88
2025-06-25,Southeast,Outdoor,New,19,714.53
2025-06-25,Southeast,Beauty,Returning,11,1310.26
2025-06-25,Midwest,Apparel,New,10,330.14
2025-06-25,Midwest,Electronics,New,10,973.5
2025-06-25,Midwest,Home,Loyalty,7,689.78
2025-06-25,Midwest,Outdoor,New,24,2547.69
2025-06-25,Midwest,Beauty,New,10,429.6
2025-06-25,West,Apparel,Returning,7,470.71
2025-06-25,West,Electronics,Loyalty,3,53.79
2025-06-25,West,Home,Returning,20,475.52
2025-06-25,West,Outdoor,Loyalty,15,1241.49
2025-06-25,West,Beauty,New,8,375.11
2025-06-26,Northeast,Apparel,Returning,23,632.6
2025-06-26,Northeast,Electronics,Loyalty,14,602.62
2025-06-26,Northeast,Home,Returning,4,162.55
2025-06-26,Northeast,Outdoor,New,23,826.51
2025-06-26,Northeast,Beauty,Loyalty,7,140.41
2025-06-26,Southeast,Apparel,Loyalty,7,658.93
2025-06-26,Southeast,Electronics,New,6,505.5
2025-06-26,Southeast,Home,New,16,435.21
2025-06-26,Southeast,Outdoor,New,15,662.06
2025-06-26,Southeast,Beauty,Returning,15,816.01
2025-06-26,Midwest,Apparel,Loyalty,8,141.11
2025-06-26,Midwest,Electronics,Loyalty,6,419.23
2025-06-26,Midwest,Home,Loyalty,6,155.75
2025-06-26,Midwest,Outdoor,New,4,278.72
2025-06-26,Midwest,Beauty,New,7,191
2025-06-26,West,Apparel,Returning,14,1106.67
2025-06-26,West,Electronics,New,5,189.23
2025-06-26,West,Home,Returning,15,568.56
2025-06-26,West,Outdoor,New,17,1180.74
2025-06-26,West,Beauty,Returning,18,311.05
2025-06-27,Northeast,Apparel,Returning,9,174.7
2025-06-27,Northeast,Electronics,Returning,15,329.73
2025-06-27,Northeast,Home,Loyalty,11,495.99
2025-06-27,Northeast,Outdoor,Loyalty,23,678.41
2025-06-27,Northeast,Beauty,Loyalty,19,1862.59
2025-06-27,Southeast,Apparel,Returning,24,2168.76
2025-06-27,Southeast,Electronics,Loyalty,9,707.41
2025-06-27,Southeast,Home,New,23,2139.42
2025-06-27,Southeast,Outdoor,New,18,1025.09
